,identificacion,name,nombre,marca,cas,categoria,sedronar,abierto,cantidad_numeros,unidad
0,C-1,neutral red,Rojo neutro,Erovne,553-24-2,colorantes,False,True,5,gr
1,C-2,pan-1-(2-pyridylazo)2-naphtol,PAN- piridilazonaftol,UCB,85-85-8,colorantes,False,True,1,gr
2,C-3,Methyl Red,rojo de metilo,Merck,493-52-7,colorantes,False,True,5,gr
3,C-4,4-(2-Pyridylazo)resorcinol monosodium salt hydrate,PAN- piridilazoresorcinol sal sdica,Koch-Light,16593-81-0,colorantes,False,True,2.5,gr
4,C-5,Eriochrome Black T,negro de eriocromo T,UCB,1787-61-7,colorantes,False,True,25,gr
5,C-6,Metanil Yellow,amarillo de metanilo,desc,587-98-4,colorantes,False,True,,
6,C-7,Aluminon,Aluminon,BDH,569-58-4,colorantes,False,True,10,gr
7,C-8,Phenolphthalein,fenolftalena,Mallinckrodt,77-09-8,colorantes,False,True,100,gr
8,C-9,Bromocresol green,verde de bromocresol,Purest,76-60-8,colorantes,False,True,1,gr
9,C-10,Acid Fuchsin,Fucsina,Qumica Labor,3244-88-0,colorantes,False,True,10,gr
10,C-11,Methyl violet B ,violeta de metilo,,,colorantes,False,True,10,gr
11,I-01,Cadmium sulphate,sulfato de cadmio,Mallinckrodt,10124-36-4,inorganicos,False,True,250,gr
12,I-01,Cadmium sulphate,sulfato de cadmio,Aldrich,10124-36-4,inorganicos,False,True,20,gr
13,I-01,Cadmium sulphate,sulfato de cadmio,Analar,10124-36-4,inorganicos,False,True,20,gr
14,I-02,Lead(II) oxide,xido de plomo (II),Analar,1317-36-8,inorganicos,False,True,125,gr
15,I-03,Hydroxylammonium sulfate,sulfato de hidroxilamonio,Merck,10039-54-0,inorganicos,False,True,100,gr
16,I-04,Ruthenium(III) chloride,cloruro de rutenio,Merck,,inorganicos,False,True,500,mg
17,I-05,Mercury(II) nitrate monohydrate,nitrato de mercurio (I) monohidrato,Carlo Erba,7783-34-8,inorganicos,False,True,100,gr
18,I-06,Sodium thiosulfate,tiosulfato de sodio,Mallinckrodt,10102-17-7,inorganicos,False,True,250,gr
19,I-07,Ammonium iron(III) sulfate,Sulfato Frrico Amnico,Merck,7783-83-7,inorganicos,False,True,100,gr
20,I-08,Mercury(I) sulfate,sulfato de mercurio (I),Aldrich,7783-36-0,inorganicos,False,True,25,gr
21,I-09,Lead(II) nitrate,Nitrato de Plomo,Mallinckrodt,10099-74-8,inorganicos,False,True,250,gr
22,I-10,Iodine,iodo,Soria Farma,7553-56-2,inorganicos,True,True,100,gr
23,I-11,Silver perchlorate,perclorato de plata,BDH,7783-93-9,inorganicos,False,True,25,gr
24,I-12,Lead(II) carbonate basic,carbonato bsico de plomo,BDH,1319-46-6,inorganicos,False,True,250,gr
25,I-13,Hydroxylamine hydrochloride,cloruro de hidroxilamina,Mallinckrodt,1/11/5470,inorganicos,False,True,500,gr
26,I-14,Mercury(II) nitrate monohydrate,nitrato de mercurio (II),Merck,7783-34-8,inorganicos,False,True,2,x
27,I-14,Mercury(II) nitrate monohydrate,nitrato de mercurio (II),Riedel-DeHaen,7783-34-8,inorganicos,False,True,100,gr
28,I-14,Mercury(II) nitrate monohydrate,nitrato de mercurio (II),Merck,7783-34-8,inorganicos,False,True,100,gr
29,I-14,Mercury(II) nitrate monohydrate,nitrato de mercurio (II),Merck,7783-34-8,inorganicos,False,True,50,gr
30,I-14,Mercury(II) nitrate monohydrate,nitrato de mercurio (II),Carlo Erba,7783-34-8,inorganicos,False,True,250,gr
31,I-15,Europium(III) chloride hexahydrate,Cloruro de Europio hexahidrato,Aldrich,13759-92-7,inorganicos,False,True,5,gr
32,I-16,Sodium periodate,peryodato de sodio,Merck,7790-28-5,inorganicos,False,True,100,gr
33,I-17,Silver nitrate,nitrato de plata,Anedra,7761-88-8,inorganicos,False,True,100,gr
34,I-17,Silver nitrate,nitrato de plata,Merck,7761-88-8,inorganicos,False,True,100,gr
35,I-18,Ammonium hexachloroosmate(IV),Hexacloroosmato de Amonio,Aldrich,,inorganicos,False,True,500,mg
36,I-19,Ammonium cerium(IV) sulfate dihydrate,Sulfato Crico Amnico,Merck,10378-47-9,inorganicos,False,True,100,gr
37,I-20,mercury,Mercurio,Cicarelli,7439-97-6,inorganicos,False,True,1,Kg
38,I-20,mercury,Mercurio,Cicarelli,7439-97-6,inorganicos,False,True,1,Kg
39,I-20,mercury,Mercurio,Timper,7439-97-6,inorganicos,False,True,1,Kg
