,identificacion,name,nombre,cantidad,marca,cas,categoria,sedronar,abierto,cantidad_numeros,unidad
0,C-1,neutral red,Rojo neutro,5gr,Erovne,553-24-2,colorantes,False,True,5.0,gr
1,C-2,pan-1-(2-pyridylazo)2-naphtol,PAN- piridilazonaftol,1 gr,UCB,85-85-8,colorantes,False,True,1.0,gr
2,C-3,Methyl Red,rojo de metilo,5 gr,Merck,493-52-7,colorantes,False,True,5.0,gr
3,C-4,4-(2-Pyridylazo)resorcinol monosodium salt hydrate,PAN- piridilazoresorcinol sal sdica,2.5 gr,Koch-Light,16593-81-0,colorantes,False,True,2.5,gr
4,C-5,Eriochrome Black T,negro de eriocromo T,25 gr,UCB,1787-61-7,colorantes,False,True,25.0,gr
5,C-6,Metanil Yellow,amarillo de metanilo,,desc,587-98-4,colorantes,False,True,,
6,C-7,Aluminon,Aluminon,10 gr,BDH,569-58-4,colorantes,False,True,10.0,gr
7,C-8,Phenolphthalein,fenolftalena,100 gr,Mallinckrodt,77-09-8,colorantes,False,True,100.0,gr
8,C-9,Bromocresol green,verde de bromocresol,1 gr,Purest,76-60-8,colorantes,False,True,1.0,gr
9,C-10,Acid Fuchsin,Fucsina,10 gr,Qumica Labor,3244-88-0,colorantes,False,True,10.0,gr
10,C-11,Methyl violet B ,violeta de metilo,10 gr,,,colorantes,False,True,10.0,gr
11,I-01,Cadmium sulphate,sulfato de cadmio,250 gr,Mallinckrodt,10124-36-4,inorganicos,False,True,250.0,gr
12,I-01,Cadmium sulphate,sulfato de cadmio,20 gr,Aldrich,10124-36-4,inorganicos,False,True,20.0,gr
13,I-01,Cadmium sulphate,sulfato de cadmio,20 gr,Analar,10124-36-4,inorganicos,False,True,20.0,gr
14,I-02,Lead(II) oxide,xido de plomo (II),125 gr,Analar,1317-36-8,inorganicos,False,True,125.0,gr
15,I-03,Hydroxylammonium sulfate,sulfato de hidroxilamonio,100 gr,Merck,10039-54-0,inorganicos,False,True,100.0,gr
16,I-04,Ruthenium(III) chloride,cloruro de rutenio,500 mg,Merck,,inorganicos,False,True,500.0,mg
17,I-05,Mercury(II) nitrate monohydrate,nitrato de mercurio (I) monohidrato,100 gr,Carlo Erba,7783-34-8,inorganicos,False,True,100.0,gr
18,I-06,Sodium thiosulfate,tiosulfato de sodio,250 gr,Mallinckrodt,10102-17-7,inorganicos,False,True,250.0,gr
